"filename", "language", "JSON", "JSON with Comments", "Python", "JavaScript", "Markdown", "YAML", "HTML", "Docker", "PostCSS", "XML", "JavaScript JSX", "MS SQL", "PowerShell", "comment", "blank", "total"
"c:\Users\Sadiel\Documents\Proyecto semestre 7 2026\CTE-ADM-BD\backend\src\controllers\JefeTecnico\DiagnosticoController.js", "JavaScript", 0, 0, 0, 587, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 105, 702
"c:\Users\Sadiel\Documents\Proyecto semestre 7 2026\CTE-ADM-BD\backend\src\controllers\Secretaria\ComprasControllers.js", "JavaScript", 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 73
"c:\Users\Sadiel\Documents\Proyecto semestre 7 2026\CTE-ADM-BD\backend\src\controllers\Secretaria\DiagnosticoControllers.js", "JavaScript", 0, 0, 0, 145, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20, 166
"c:\Users\Sadiel\Documents\Proyecto semestre 7 2026\CTE-ADM-BD\backend\src\controllers\Secretaria\FacturacionControllers.js", "JavaScript", 0, 0, 0, 235, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 271
"c:\Users\Sadiel\Documents\Proyecto semestre 7 2026\CTE-ADM-BD\backend\src\controllers\Secretaria\NuevaOrdenControllers.js", "JavaScript", 0, 0, 0, 107, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 132
"c:\Users\Sadiel\Documents\Proyecto semestre 7 2026\CTE-ADM-BD\backend\src\controllers\Secretaria\ProveedoresControllers.js", "JavaScript", 0, 0, 0, 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 25, 131
"c:\Users\Sadiel\Documents\Proyecto semestre 7 2026\CTE-ADM-BD\backend\src\controllers\Secretaria\RepuestoControllers.js", "JavaScript", 0, 0, 0, 113, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16, 130
"c:\Users\Sadiel\Documents\Proyecto semestre 7 2026\CTE-ADM-BD\backend\src\controllers\Secretaria\SecretariaControllers.js", "JavaScript", 0, 0, 0, 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 8, 96
"c:\Users\Sadiel\Documents\Proyecto semestre 7 2026\CTE-ADM-BD\backend\src\controllers\Secretaria\TipoRepuestoControllers.js", "JavaScript", 0, 0, 0, 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 104
"c:\Users\Sadiel\Documents\Proyecto semestre 7 2026\CTE-ADM-BD\backend\src\controllers\Secretaria\clientesController.js", "JavaScript", 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 10, 74
"c:\Users\Sadiel\Documents\Proyecto semestre 7 2026\CTE-ADM-BD\backend\src\controllers\Secretaria\equiposController.js", "JavaScript", 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 65
"c:\Users\Sadiel\Documents\Proyecto semestre 7 2026\CTE-ADM-BD\backend\src\controllers\Secretaria\garantiasController.js", "JavaScript", 0, 0, 0, 97, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14, 112
"c:\Users\Sadiel\Documents\Proyecto semestre 7 2026\CTE-ADM-BD\backend\src\controllers\Tecnico\tecnicosController.js", "JavaScript", 0, 0, 0, 113, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 128
"c:\Users\Sadiel\Documents\Proyecto semestre 7 2026\CTE-ADM-BD\backend\src\controllers\admin_pro\accessController.js", "JavaScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 9
"c:\Users\Sadiel\Documents\Proyecto semestre 7 2026\CTE-ADM-BD\backend\src\controllers\admin_pro\adminProController.js", "JavaScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"c:\Users\Sadiel\Documents\Proyecto semestre 7 2026\CTE-ADM-BD\backend\src\controllers\admin_pro\analiticaController.js", "JavaScript", 0, 0, 0, 299, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 314
"c:\Users\Sadiel\Documents\Proyecto semestre 7 2026\CTE-ADM-BD\backend\src\controllers\admin_pro\dashboardController.js", "JavaScript", 0, 0, 0, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 110
"c:\Users\Sadiel\Documents\Proyecto semestre 7 2026\CTE-ADM-BD\backend\src\controllers\admin_pro\diagnosticosController.js", "JavaScript", 0, 0, 0, 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 120
"c:\Users\Sadiel\Documents\Proyecto semestre 7 2026\CTE-ADM-BD\backend\src\controllers\admin_pro\equiposController.js", "JavaScript", 0, 0, 0, 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12, 106
"c:\Users\Sadiel\Documents\Proyecto semestre 7 2026\CTE-ADM-BD\backend\src\controllers\admin_pro\facturasController.js", "JavaScript", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 24
"c:\Users\Sadiel\Documents\Proyecto semestre 7 2026\CTE-ADM-BD\backend\src\controllers\admin_pro\garantiasController.js", "JavaScript", 0, 0, 0, 106, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 23, 130
"c:\Users\Sadiel\Documents\Proyecto semestre 7 2026\CTE-ADM-BD\backend\src\controllers\admin_pro\historialController.js", "JavaScript", 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 45
"c:\Users\Sadiel\Documents\Proyecto semestre 7 2026\CTE-ADM-BD\backend\src\controllers\admin_pro\ordenesController.js", "JavaScript", 0, 0, 0, 155, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16, 172
"c:\Users\Sadiel\Documents\Proyecto semestre 7 2026\CTE-ADM-BD\backend\src\controllers\admin_pro\reportesController.js", "JavaScript", 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 67
"c:\Users\Sadiel\Documents\Proyecto semestre 7 2026\CTE-ADM-BD\backend\src\controllers\admin_pro\repuestosController.js", "JavaScript", 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 59
"c:\Users\Sadiel\Documents\Proyecto semestre 7 2026\CTE-ADM-BD\backend\src\controllers\admin_pro\usuariosController.js", "JavaScript", 0, 0, 0, 110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 25, 136
"c:\Users\Sadiel\Documents\Proyecto semestre 7 2026\CTE-ADM-BD\backend\src\controllers\auth\authController.js", "JavaScript", 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 11, 57
"c:\Users\Sadiel\Documents\Proyecto semestre 7 2026\CTE-ADM-BD\backend\src\controllers\flujoAtencionController.js", "JavaScript", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 26
"c:\Users\Sadiel\Documents\Proyecto semestre 7 2026\CTE-ADM-BD\backend\src\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2
"c:\Users\Sadiel\Documents\Proyecto semestre 7 2026\CTE-ADM-BD\backend\src\middlewares\authMiddleware.js", "JavaScript", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 41
"c:\Users\Sadiel\Documents\Proyecto semestre 7 2026\CTE-ADM-BD\backend\src\middlewares\securityMiddleware.js", "JavaScript", 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 40
"c:\Users\Sadiel\Documents\Proyecto semestre 7 2026\CTE-ADM-BD\backend\src\routes\auth\auth.js", "JavaScript", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 10
"c:\Users\Sadiel\Documents\Proyecto semestre 7 2026\CTE-ADM-BD\backend\src\routes\health.js", "JavaScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
"c:\Users\Sadiel\Documents\Proyecto semestre 7 2026\CTE-ADM-BD\backend\src\routes\modules\JefeTecnico\Diagnostico.js", "JavaScript", 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 50
"c:\Users\Sadiel\Documents\Proyecto semestre 7 2026\CTE-ADM-BD\backend\src\routes\modules\Tecnico\tecnicos.js", "JavaScript", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 26
"c:\Users\Sadiel\Documents\Proyecto semestre 7 2026\CTE-ADM-BD\backend\src\routes\modules\admin_pro\adminPro.js", "JavaScript", 0, 0, 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 78
"c:\Users\Sadiel\Documents\Proyecto semestre 7 2026\CTE-ADM-BD\backend\src\routes\modules\flujoAtencion.js", "JavaScript", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12
"c:\Users\Sadiel\Documents\Proyecto semestre 7 2026\CTE-ADM-BD\backend\src\routes\modules\secretaria\Clientes.js", "JavaScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 17
"c:\Users\Sadiel\Documents\Proyecto semestre 7 2026\CTE-ADM-BD\backend\src\routes\modules\secretaria\Compras.js", "JavaScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 14
"c:\Users\Sadiel\Documents\Proyecto semestre 7 2026\CTE-ADM-BD\backend\src\routes\modules\secretaria\Diagnostico.js", "JavaScript", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 8, 32
"c:\Users\Sadiel\Documents\Proyecto semestre 7 2026\CTE-ADM-BD\backend\src\routes\modules\secretaria\Equipos.js", "JavaScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 18
"c:\Users\Sadiel\Documents\Proyecto semestre 7 2026\CTE-ADM-BD\backend\src\routes\modules\secretaria\NuevaOrden.js", "JavaScript", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 24
"c:\Users\Sadiel\Documents\Proyecto semestre 7 2026\CTE-ADM-BD\backend\src\routes\modules\secretaria\Proveedores.js", "JavaScript", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 22
"c:\Users\Sadiel\Documents\Proyecto semestre 7 2026\CTE-ADM-BD\backend\src\routes\modules\secretaria\Repuesto.js", "JavaScript", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 23
"c:\Users\Sadiel\Documents\Proyecto semestre 7 2026\CTE-ADM-BD\backend\src\routes\modules\secretaria\Secretaria.js", "JavaScript", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 25
"c:\Users\Sadiel\Documents\Proyecto semestre 7 2026\CTE-ADM-BD\backend\src\routes\modules\secretaria\TipoRepuesto.js", "JavaScript", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 21
